"Community safety and social inclusion > Welsh Index of Multiple Deprivation > WIMD indicator data by age > Indicator data by Lower Super Output Area - Income Deprivation"
""

Filters:
Indicator: Income deprivation (percentage of population)
Year: 2017

"","All Ages ","","","","","","","","","","","","","","","All Ages "
"","0 - 15 ","0 - 18 ","16 - 64 ",65+ ,"0 - 4 ","5 - 9 ","10 - 15 ","16 - 18 ","19 - 24 ","25 - 34 ","35 - 44 ","45 - 54 ","55 - 64 ","65 - 74 ",75+ ,"."
"Neath Port Talbot 017A ",47,46,27,26,56,47,33,38,38,23,31,23,19,27,25,31
"Neath Port Talbot 017B ",44,43,22,34,41,47,45,35,28,14,25,21,27,34,35,28
"Neath Port Talbot 017C ",67,66,31,27,68,65,70,58,33,29,33,30,24,25,29,37
"Neath Port Talbot 017D ",54,50,29,38,70,47,46,30,35,23,26,28,33,33,43,35
"Neath Port Talbot 017E ",20,20,12,18,29,19,16,17,17,13,11,11,8,16,21,14
"Neath Port Talbot 017F ",36,37,20,30,35,34,40,40,22,15,22,20,17,26,35,25
"Neath Port Talbot 011A ",32,30,15,22,26,34,34,21,23,16,15,17,7,18,29,20
"Neath Port Talbot 011B ",56,54,33,36,63,60,45,42,36,37,33,29,30,34,39,38
"Neath Port Talbot 011C ",37,39,22,24,45,35,28,52,25,17,23,26,13,17,40,25
"Neath Port Talbot 011D ",37,36,23,34,48,38,28,30,20,38,24,16,16,26,44,28
"Neath Port Talbot 014A ",18,18,11,18,16,24,17,17,7,14,11,9,9,11,28,14
"Neath Port Talbot 014B ",10,10,8,11,7,11,11,11,8,7,7,8,9,8,15,9
"Neath Port Talbot 014C ",41,39,24,36,47,48,29,33,21,27,24,23,23,29,47,29
"Neath Port Talbot 014D ",40,37,16,17,48,47,25,23,12,23,11,14,16,14,20,21
"Neath Port Talbot 014E ",33,31,16,22,35,28,34,25,20,18,17,13,12,18,27,20
"Neath Port Talbot 018A ",19,19,10,16,20,25,13,20,11,10,9,6,11,10,24,12
"Neath Port Talbot 018B ",25,24,14,16,37,18,22,16,21,15,13,13,11,12,22,16
"Neath Port Talbot 018C ",38,36,21,22,44,35,36,29,16,21,26,23,14,11,34,24
"Neath Port Talbot 018D ",19,23,14,18,21,11,28,48,16,12,8,17,9,19,18,16
"Neath Port Talbot 018E ",36,35,18,16,40,40,27,30,19,20,10,20,14,10,23,20
"Neath Port Talbot 019A ",48,41,18,18,52,47,43,15,23,20,18,16,14,19,17,22
"Neath Port Talbot 019B ",14,15,6,11,14,16,13,17,9,10,5,4,4,9,16,9
"Neath Port Talbot 019C ",45,44,25,28,41,45,48,39,23,23,24,30,20,25,31,29
"Neath Port Talbot 019D ",30,29,14,15,37,24,29,24,15,16,11,13,11,14,18,17
"Neath Port Talbot 002A ",14,15,11,17,11,19,13,21,13,8,15,9,9,12,24,12
"Neath Port Talbot 002B ",27,28,15,21,17,37,30,32,7,14,18,16,13,15,29,19
"Neath Port Talbot 002C ",35,33,15,17,43,29,35,20,17,19,16,15,10,13,23,19
"Neath Port Talbot 004A ",21,21,10,19,28,11,27,20,8,13,10,10,7,15,24,14
"Neath Port Talbot 004B ",27,27,14,17,23,34,26,24,15,16,12,15,11,12,22,17
"Neath Port Talbot 004C ",30,29,19,20,37,29,26,20,25,15,19,15,24,18,24,22
"Neath Port Talbot 004D ",16,18,13,24,15,13,20,26,10,13,9,14,15,19,32,16
"Neath Port Talbot 004E ",15,15,11,16,12,18,14,16,11,11,12,11,7,10,25,13
"Neath Port Talbot 004F ",8,7,5,8,5,4,13,5,4,8,6,5,5,6,12,7
"Neath Port Talbot 004G ",25,24,13,17,30,22,24,19,18,11,9,12,16,14,21,16
"Neath Port Talbot 020A ",18,19,11,17,13,19,22,24,20,8,11,9,11,14,21,13
"Neath Port Talbot 020B ",17,16,11,21,19,13,20,12,9,10,8,16,11,18,28,14
"Neath Port Talbot 020C ",25,26,15,27,28,23,23,36,19,17,11,14,13,19,38,19
"Neath Port Talbot 020D ",35,34,21,31,49,25,32,31,32,24,12,22,16,25,41,25
"Neath Port Talbot 020E ",23,23,17,25,37,20,15,23,27,14,15,15,14,19,33,19
"Neath Port Talbot 020F ",31,30,20,29,43,23,30,24,21,23,12,22,23,23,36,24
"Neath Port Talbot 020G ",36,34,19,23,48,34,28,26,22,22,20,19,13,16,31,23
"Bridgend 001A ",68,68,41,28,89,57,62,69,47,44,40,35,31,28,28,45
"Bridgend 001B ",62,54,29,26,68,73,48,25,33,31,29,30,25,26,26,35
"Bridgend 001C ",54,51,24,31,56,57,48,37,30,24,24,23,15,25,40,31
"Bridgend 001D ",37,37,22,20,34,44,34,36,21,24,23,25,13,18,24,25
"Bridgend 001E ",29,27,15,17,31,22,33,19,17,15,16,13,14,11,26,18
"Bridgend 002A ",37,36,18,27,49,28,36,28,21,15,16,18,20,24,29,23
"Bridgend 002B ",34,34,19,30,31,45,30,33,24,24,14,16,16,26,35,24
"Bridgend 002C ",23,22,10,8,20,21,27,20,15,9,9,7,8,6,12,12
"Bridgend 002D ",25,24,19,23,23,36,20,21,20,28,15,18,17,19,30,21
"Bridgend 002E ",38,34,20,26,54,30,31,13,28,28,18,18,15,23,31,24
"Bridgend 003A ",37,35,20,29,32,30,49,20,21,16,21,25,17,24,35,25
"Bridgend 003B ",41,41,21,28,44,42,39,39,29,20,20,21,15,18,46,26
"Bridgend 003C ",43,40,19,25,41,44,44,28,20,20,29,16,12,21,33,24
"Bridgend 003D ",25,27,16,11,26,25,26,36,18,18,14,18,7,7,17,17
"Bridgend 003E ",25,24,14,15,26,26,23,18,18,18,11,10,12,11,22,16
"Bridgend 003F ",41,39,21,22,50,32,39,32,28,21,20,19,16,23,22,24
"Bridgend 004A ",55,52,25,29,54,61,52,35,22,26,26,21,24,25,35,33
"Bridgend 004B ",28,28,16,18,33,31,23,25,18,17,14,14,16,16,21,19
"Bridgend 004C ",21,22,12,18,23,16,23,27,11,9,13,15,8,14,26,15
"Bridgend 004D ",25,25,18,16,30,26,20,24,26,19,21,16,10,8,26,19
"Bridgend 004E ",29,29,18,15,38,26,24,26,30,23,14,12,15,9,25,20
"Bridgend 005A ",14,13,6,9,8,10,21,8,5,10,8,5,4,8,13,8
"Bridgend 005B ",30,30,14,19,23,40,27,29,16,14,16,13,12,14,25,18
"Bridgend 005C ",22,20,12,9,27,18,20,12,20,14,13,12,8,8,10,12
"Bridgend 005D ",44,39,21,30,49,47,37,22,23,31,18,24,14,20,45,27
"Bridgend 006A ",14,14,9,18,18,14,11,18,13,9,8,7,6,11,27,11
"Bridgend 006B ",37,33,20,35,47,33,28,16,21,23,20,17,18,27,48,25
"Bridgend 006C ",13,12,9,18,20,7,13,7,15,12,7,6,10,7,32,11
"Bridgend 007A ",21,19,9,17,35,16,13,8,16,14,8,6,6,14,22,12
"Bridgend 007B ",32,31,16,23,37,30,27,25,23,15,16,17,11,15,37,21
"Bridgend 007C ",48,47,24,29,58,43,43,40,26,23,23,20,25,26,34,30
"Bridgend 007D ",32,29,12,15,42,22,31,22,16,12,16,8,11,11,21,16
"Bridgend 009A ",23,24,16,29,20,19,31,29,17,9,20,18,14,22,37,20
"Bridgend 009B ",14,14,6,14,22,9,11,11,9,6,4,4,5,9,19,9
"Bridgend 009C ",7,7,4,6,11,6,5,8,5,4,5,3,3,4,12,5
"Bridgend 009D ",30,28,13,23,36,29,26,14,12,17,10,14,9,16,41,18
"Bridgend 009E ",12,11,8,16,10,10,15,9,10,6,11,7,7,9,33,10
"Bridgend 009F ",20,19,9,12,22,25,15,17,17,11,8,7,6,7,20,12
"Bridgend 011A ",16,14,3,4,16,19,10,6,3,4,2,3,3,3,4,5
"Bridgend 011B ",8,9,5,4,7,12,6,10,5,8,4,3,4,3,6,5
"Bridgend 011C ",18,19,11,13,15,23,17,28,9,11,9,10,13,12,14,13
"Bridgend 012A ",26,26,11,15,26,29,23,26,13,12,9,11,8,10,20,14
"Bridgend 012B ",35,33,18,16,46,35,29,24,16,24,17,17,16,17,15,21
"Bridgend 012C ",16,18,9,17,18,12,20,24,11,7,8,8,7,12,23,12
"Bridgend 012D ",33,34,18,33,35,28,36,36,11,14,20,15,19,31,34,24
"Bridgend 013A ",17,15,5,6,24,13,15,6,8,7,6,4,4,5,8,7
"Bridgend 013B ",7,7,4,7,7,8,7,8,4,3,4,3,5,6,8,5
"Bridgend 013C ",6,7,6,4,7,7,6,8,6,13,5,5,3,2,7,6
"Bridgend 014A ",33,32,18,27,28,42,29,32,19,17,17,18,19,23,32,22
"Bridgend 014B ",48,49,31,17,62,40,40,58,44,35,28,23,23,15,21,32
"Bridgend 014C ",34,34,21,23,28,32,46,36,23,18,25,21,17,20,26,23
"Bridgend 014D ",18,16,11,10,16,19,17,12,11,10,11,13,8,7,13,11
"Bridgend 014E ",42,41,22,24,42,39,44,38,29,20,20,18,19,19,28,25
"Bridgend 015A ",17,18,9,17,20,13,20,21,14,9,8,9,6,13,27,12
"Bridgend 015B ",20,19,6,12,34,16,11,12,11,7,4,6,5,8,19,10
"Bridgend 015C ",5,6,4,4,6,0,7,11,4,2,4,3,3,1,11,4
"Bridgend 015D ",6,5,5,10,11,2,4,1,6,10,2,1,10,8,12,7
"Bridgend 016A ",27,24,11,17,24,29,28,14,16,15,11,11,5,11,29,15
"Bridgend 016B ",50,48,32,31,53,53,44,36,29,39,28,32,27,35,25,37
"Bridgend 016C ",25,27,12,14,23,25,25,37,12,9,13,11,6,11,19,14
"Bridgend 016D ",24,24,11,10,25,24,23,27,21,8,10,7,8,7,15,14
"Bridgend 017B ",23,24,18,35,21,23,25,27,22,14,20,16,19,34,36,22
"Bridgend 017C ",25,21,9,14,25,31,21,7,14,9,12,9,4,9,19,12
"Bridgend 017D ",13,11,4,10,13,15,11,5,4,11,4,2,3,4,15,7
"Bridgend 017E ",7,7,5,7,5,7,8,7,8,6,3,6,5,7,5,6
"Bridgend 017F ",5,5,3,7,6,4,6,4,10,2,2,2,3,4,15,4
"Bridgend 017G ",9,8,4,13,15,7,6,5,7,7,3,4,2,8,24,6
"Bridgend 017H ",17,17,10,10,19,19,14,20,13,9,8,8,9,8,17,12
"Bridgend 008A ",23,22,13,18,16,21,30,18,8,8,13,17,14,14,24,16
"Bridgend 008B ",16,17,9,16,21,16,12,19,15,7,7,7,7,13,21,11
"Bridgend 008C ",35,35,23,33,29,34,43,31,23,23,20,25,21,25,42,27
"Bridgend 008D ",36,34,18,29,39,45,27,22,18,17,20,18,15,19,42,23
"Bridgend 008E ",34,34,18,20,36,36,30,36,22,17,15,18,10,19,22,22
"Bridgend 008F ",35,36,22,35,47,20,40,40,24,20,21,19,21,27,44,27
"Bridgend 010A ",36,34,18,25,34,43,34,25,21,15,19,16,17,16,39,22
"Bridgend 010B ",18,18,10,18,13,22,17,22,11,9,8,11,10,15,20,13
"Bridgend 010C ",32,33,18,16,35,37,26,37,19,16,20,13,15,14,18,20
"Bridgend 010D ",35,35,24,34,35,32,39,41,29,21,24,21,24,31,42,28
"Bridgend 018A ",6,5,4,8,6,6,6,1,9,6,3,5,1,4,11,5
"Bridgend 018B ",15,14,7,9,12,13,18,13,7,11,6,6,3,6,13,9
"Bridgend 018C ",26,26,21,20,31,25,22,27,14,21,23,24,18,19,20,21
"Bridgend 018D ",19,18,11,14,35,12,17,14,11,14,11,10,10,14,13,13
"Bridgend 018E ",7,11,9,6,12,0,9,26,14,9,9,10,4,3,9,8
"Bridgend 018F ",13,11,3,7,14,11,14,7,4,6,4,3,2,4,8,6
"Bridgend 019A ",9,7,6,11,13,8,8,1,5,7,9,6,6,9,13,8
"Bridgend 019B ",10,12,11,11,14,5,11,19,16,18,7,13,5,7,16,11
"Bridgend 019C ",23,23,16,29,27,23,20,26,12,13,15,16,20,27,31,21
"Bridgend 019D ",21,23,19,24,31,21,12,32,18,17,23,17,16,20,29,20
"The Vale of Glamorgan 001A ",7,6,3,6,11,4,6,2,11,4,3,3,2,4,10,5
"The Vale of Glamorgan 001B ",8,8,4,5,12,6,8,7,7,6,7,3,3,2,8,5
"The Vale of Glamorgan 001C ",8,8,5,8,8,8,8,9,7,7,3,7,1,4,13,6
"The Vale of Glamorgan 002A ",9,9,6,9,8,5,12,13,2,7,4,8,6,5,12,7
"The Vale of Glamorgan 002B ",4,4,1,3,7,5,3,2,0,5,1,1,1,0,6,2
"The Vale of Glamorgan 002C ",7,7,4,6,6,9,7,8,3,4,3,5,4,3,9,5
"The Vale of Glamorgan 002D ",3,4,3,2,0,2,6,5,4,7,3,2,1,1,4,3
"The Vale of Glamorgan 011A ",10,11,5,5,11,5,13,15,5,5,5,5,2,3,9,6
"The Vale of Glamorgan 011B ",13,12,7,8,16,6,16,9,9,10,7,7,5,6,10,8
"The Vale of Glamorgan 011C ",16,17,10,11,17,21,12,23,14,11,7,10,6,5,20,11
"The Vale of Glamorgan 011D ",8,5,4,7,7,6,9,3,2,9,4,6,2,4,11,5
"The Vale of Glamorgan 011E ",32,29,17,23,39,34,27,16,17,17,20,13,17,18,31,21
"The Vale of Glamorgan 011F ",10,9,5,9,12,9,10,4,12,9,1,3,3,7,11,6
"The Vale of Glamorgan 014A ",17,16,8,10,19,19,11,9,11,8,9,6,7,8,14,10
"The Vale of Glamorgan 014B ",19,19,7,12,26,13,19,19,12,6,10,6,2,9,14,10
"The Vale of Glamorgan 014C ",18,16,8,14,28,13,14,9,11,11,7,6,6,10,21,11
"The Vale of Glamorgan 014D ",4,5,4,9,3,2,7,7,6,8,4,4,2,8,11,5
"The Vale of Glamorgan 014E ",33,32,15,13,39,28,34,24,29,13,18,12,8,12,15,18
"The Vale of Glamorgan 014F ",20,19,8,11,24,25,12,14,4,7,11,8,8,11,11,11
"The Vale of Glamorgan 003A ",4,4,3,6,7,4,2,5,4,7,2,2,3,3,11,4
"The Vale of Glamorgan 003B ",11,11,6,11,16,5,12,14,5,7,4,6,3,8,17,7
"The Vale of Glamorgan 003C ",6,6,4,4,3,6,8,8,6,10,3,3,2,2,7,4
"The Vale of Glamorgan 003D ",5,5,4,10,5,2,7,5,8,6,4,3,2,6,13,6
"The Vale of Glamorgan 006A ",12,10,3,5,18,7,12,0,5,6,4,2,3,4,6,5
"The Vale of Glamorgan 006B ",13,12,4,7,14,10,15,6,3,8,3,2,5,2,12,6
"The Vale of Glamorgan 006C ",25,24,13,23,26,27,23,18,11,16,12,10,15,20,26,18
"The Vale of Glamorgan 006D ",5,6,4,8,4,3,7,12,3,5,4,3,2,3,12,5
"The Vale of Glamorgan 006E ",5,5,2,7,5,6,4,5,2,3,3,2,2,4,12,4
"The Vale of Glamorgan 010A ",12,12,6,5,28,4,9,10,8,8,5,6,3,1,10,6
"The Vale of Glamorgan 010B ",7,7,4,5,15,4,3,6,6,3,8,3,2,3,9,5
"The Vale of Glamorgan 010C ",6,8,6,11,8,7,5,13,9,8,5,3,6,8,14,7
"The Vale of Glamorgan 010D ",8,8,4,10,13,9,4,6,5,5,6,4,3,5,17,6
"The Vale of Glamorgan 013A ",8,11,9,16,7,3,12,29,9,6,7,9,8,13,18,10
"The Vale of Glamorgan 013B ",33,33,25,31,31,38,31,32,23,27,22,29,21,31,31,28
"The Vale of Glamorgan 013C ",31,32,21,33,26,33,33,37,20,19,14,23,22,29,36,25
"The Vale of Glamorgan 013D ",29,29,16,32,36,30,24,30,18,16,11,15,17,34,31,22
"The Vale of Glamorgan 013E ",25,24,16,25,34,16,28,21,23,14,17,14,15,18,33,19
"The Vale of Glamorgan 013F ",23,23,14,23,31,18,18,24,25,14,12,11,12,25,22,17
"The Vale of Glamorgan 007A ",47,45,28,28,55,43,44,36,46,28,25,19,24,23,32,32
"The Vale of Glamorgan 007B ",27,26,16,19,19,30,31,24,15,12,14,16,18,17,21,19
"The Vale of Glamorgan 007C ",56,52,27,21,69,54,45,33,26,38,24,22,23,18,27,33
"The Vale of Glamorgan 007D ",52,51,30,44,58,49,46,44,29,31,30,27,30,40,51,38
"The Vale of Glamorgan 007E ",22,23,13,26,31,11,23,24,16,14,11,15,12,21,30,18
"The Vale of Glamorgan 007F ",54,53,27,20,51,57,55,46,29,29,30,19,21,19,20,33
"The Vale of Glamorgan 009A ",40,40,25,42,43,33,44,40,26,21,23,29,20,38,46,31
"The Vale of Glamorgan 009B ",21,21,14,29,27,12,23,24,18,13,12,13,13,23,40,17
"The Vale of Glamorgan 009C ",31,31,25,26,32,28,35,32,18,22,23,27,30,27,23,26
"The Vale of Glamorgan 009D ",29,28,14,25,31,26,32,20,19,15,10,13,15,21,31,19
"The Vale of Glamorgan 009E ",9,10,5,9,10,12,7,11,7,7,4,3,4,4,20,6
"The Vale of Glamorgan 012A ",25,26,14,15,19,29,27,32,13,16,12,12,13,18,13,17
"The Vale of Glamorgan 012B ",22,22,13,24,21,20,25,23,12,12,16,14,8,15,35,17
"The Vale of Glamorgan 012C ",40,41,26,29,40,34,47,56,26,22,28,28,21,28,29,29
"The Vale of Glamorgan 012E ",33,33,22,24,25,31,45,38,22,15,23,25,22,19,31,25
"The Vale of Glamorgan 012F ",40,39,20,26,50,44,28,36,23,20,20,15,15,13,43,25
"The Vale of Glamorgan 012G ",35,34,20,28,45,36,27,24,27,19,20,18,18,21,44,24
"The Vale of Glamorgan 012H ",32,33,20,30,28,27,42,35,26,15,23,22,14,23,44,24
"The Vale of Glamorgan 015A ",13,13,8,12,17,12,11,14,13,12,7,5,6,10,14,9
"The Vale of Glamorgan 015B ",5,5,4,6,3,5,6,8,8,6,3,5,1,5,7,5
"The Vale of Glamorgan 015C ",16,16,13,25,20,19,10,16,18,15,10,10,14,22,30,15
"The Vale of Glamorgan 015D ",24,25,14,32,23,29,21,32,21,11,12,15,13,23,44,19
"The Vale of Glamorgan 015E ",44,42,25,38,47,48,38,29,20,23,24,27,34,38,37,31
"The Vale of Glamorgan 004A ",8,7,6,11,8,4,11,4,8,10,5,6,5,9,13,7
"The Vale of Glamorgan 004B ",12,13,9,29,14,7,16,18,12,7,8,8,9,27,32,12
"The Vale of Glamorgan 004C ",15,14,9,23,13,17,14,12,9,16,5,7,10,18,31,14
"The Vale of Glamorgan 004D ",13,13,8,11,11,11,17,10,12,7,7,7,7,9,12,9
"The Vale of Glamorgan 004E ",8,9,6,8,16,3,7,15,9,8,4,7,4,5,13,7
"The Vale of Glamorgan 004F ",21,20,11,25,21,25,18,17,10,15,9,9,9,16,32,16
"The Vale of Glamorgan 005A ",2,2,2,9,3,1,3,2,0,3,2,3,3,5,12,5
"The Vale of Glamorgan 005B ",11,11,7,12,16,11,7,9,10,5,6,9,6,11,12,9
"The Vale of Glamorgan 005C ",8,9,8,24,10,9,6,15,4,5,10,8,10,19,32,10
"The Vale of Glamorgan 005D ",3,4,6,12,6,2,2,8,8,8,3,7,6,8,15,7
"The Vale of Glamorgan 005E ",23,23,8,14,27,16,27,19,9,4,7,8,12,10,21,11
"The Vale of Glamorgan 005F ",2,2,3,9,1,4,1,3,2,5,1,1,6,6,12,4
"The Vale of Glamorgan 008A ",2,3,2,3,3,2,2,5,3,2,3,2,1,3,4,3
"The Vale of Glamorgan 008B ",7,8,6,16,10,5,7,14,7,6,4,6,9,11,21,9
"The Vale of Glamorgan 008C ",29,28,16,32,33,30,25,25,16,21,10,14,20,28,37,22
"The Vale of Glamorgan 008D ",6,6,4,11,14,6,2,6,8,9,3,3,3,7,18,6
"The Vale of Glamorgan 008E ",4,4,3,6,5,4,4,5,6,4,3,3,2,4,7,4
"The Vale of Glamorgan 008F ",4,4,4,10,3,5,3,5,11,6,3,3,4,9,12,6
"Cardiff 004A ",6,6,5,3,11,6,4,5,11,8,3,4,3,1,5,5
"Cardiff 004B ",1,1,2,5,1,0,3,0,6,1,2,2,2,4,6,3
"Cardiff 004C ",4,4,4,5,0,10,3,5,5,2,4,3,5,5,5,4
"Cardiff 004D ",5,6,4,9,3,10,4,7,7,4,3,3,4,5,12,6
"Cardiff 010A ",19,18,8,14,26,22,10,13,14,10,8,7,7,9,22,11
"Cardiff 010B ",21,21,10,20,27,21,13,22,16,11,8,8,8,14,29,14
"Cardiff 010C ",8,7,4,5,7,6,9,6,4,4,5,3,3,5,6,5
"Cardiff 010D ",20,22,23,26,20,22,18,33,19,20,20,32,19,29,23,23
"Cardiff 012A ",10,12,6,14,5,12,13,23,4,4,4,7,5,11,17,8
"Cardiff 012B ",6,6,4,7,4,7,9,5,5,4,2,5,3,7,7,5
"Cardiff 012C ",3,4,2,2,7,1,3,7,3,2,3,1,1,2,3,2
"Cardiff 012D ",3,3,4,10,3,4,3,4,3,3,5,5,4,7,12,6
"Cardiff 020A ",4,3,2,3,1,5,6,0,1,3,2,2,2,3,4,3
"Cardiff 020B ",16,17,10,10,12,18,16,22,8,8,11,11,10,7,14,11
"Cardiff 020C ",14,13,9,23,16,12,13,7,12,7,8,11,10,19,26,13
"Cardiff 020D ",2,2,2,6,4,1,0,2,2,3,2,1,1,2,9,3
"Cardiff 020E ",2,2,3,7,3,1,3,2,3,7,3,3,2,4,9,4
"Cardiff 001A ",6,6,4,3,6,4,7,4,5,2,6,4,2,2,3,4
"Cardiff 001B ",4,4,2,3,7,2,3,3,5,7,3,0,1,2,4,3
"Cardiff 001C ",10,9,4,9,11,11,5,3,4,5,6,3,1,5,16,5
"Cardiff 001D ",8,6,3,9,2,12,9,0,3,0,7,3,3,7,11,6
"Cardiff 002A ",9,8,4,4,12,8,7,6,5,5,2,4,5,3,6,5
"Cardiff 002B ",6,6,3,9,9,7,3,6,8,2,2,2,3,7,11,4
"Cardiff 002C ",15,16,7,9,18,12,16,19,7,7,7,7,5,8,11,9
"Cardiff 002D ",12,11,5,10,5,14,15,8,8,3,5,4,4,3,18,7
"Cardiff 003A ",15,15,7,11,12,15,17,16,5,3,9,6,6,8,19,9
"Cardiff 003B ",11,12,5,14,10,11,15,22,5,4,5,4,3,11,17,7
"Cardiff 003C ",6,6,3,8,5,6,7,7,7,4,3,2,3,7,9,4
"Cardiff 003D ",15,17,8,15,18,16,12,23,8,4,9,8,7,10,26,10
"Cardiff 005A ",12,13,9,11,10,10,16,14,14,8,5,13,4,11,12,10
"Cardiff 005B ",33,31,18,25,35,31,31,26,24,13,17,20,18,18,34,22
"Cardiff 005C ",16,17,7,11,11,17,21,21,13,6,7,5,5,4,19,10
"Cardiff 005D ",29,26,15,33,30,32,26,16,17,11,17,12,19,30,35,21
"Cardiff 005F ",13,13,6,45,9,12,24,21,1,3,6,9,13,37,52,11
"Cardiff 005G ",16,16,9,30,11,17,21,21,11,5,9,10,9,21,39,13
"Cardiff 006A ",9,10,7,16,12,7,8,17,2,9,5,8,8,6,30,9
"Cardiff 006C ",7,7,4,9,8,8,5,8,5,7,3,3,4,8,11,6
"Cardiff 006D ",5,5,3,3,0,7,7,11,2,3,3,3,1,1,7,3
"Cardiff 006E ",5,5,3,4,3,5,8,9,2,2,3,3,3,0,13,4
"Cardiff 006F ",4,4,5,5,2,5,4,3,7,8,4,7,3,4,5,5
"Cardiff 014A ",7,6,5,6,4,7,8,6,11,4,5,4,4,3,11,5
"Cardiff 014B ",7,8,2,4,5,10,7,9,7,2,3,1,0,2,9,4
"Cardiff 014C ",5,6,4,11,4,8,3,12,6,6,4,2,2,7,16,5
"Cardiff 014D ",8,9,6,6,5,8,11,11,8,5,5,6,5,5,8,6
"Cardiff 023A ",48,49,28,41,38,54,50,51,21,30,28,25,28,42,40,35
"Cardiff 023B ",22,22,12,22,24,24,20,16,10,10,11,14,11,19,25,15
"Cardiff 023C ",33,32,17,29,30,33,36,27,16,13,19,17,16,26,33,22
"Cardiff 023D ",39,38,28,33,38,35,42,35,20,27,32,27,31,25,44,31
"Cardiff 023E ",12,12,7,14,14,8,13,11,14,5,8,8,6,9,18,9
"Cardiff 023F ",40,41,17,26,37,36,45,51,19,16,13,19,13,23,30,24
"Cardiff 026A ",6,5,3,5,5,9,4,0,3,5,2,3,4,2,8,4
"Cardiff 026B ",6,7,4,6,6,6,7,7,1,4,5,8,4,6,6,5
"Cardiff 026C ",7,7,10,11,13,5,4,4,18,11,8,12,8,9,12,10
"Cardiff 026D ",2,2,3,4,0,3,3,4,2,4,2,4,1,5,4,3
"Cardiff 026E ",8,8,5,7,11,7,6,9,8,4,5,4,4,6,9,6
"Cardiff 026F ",14,14,7,10,19,10,13,14,5,7,10,4,6,5,17,8
"Cardiff 007A ",23,23,15,30,21,29,20,24,13,13,15,15,15,29,30,19
"Cardiff 007B ",52,51,30,55,52,51,54,45,22,26,36,29,27,48,61,38
"Cardiff 007C ",56,53,30,38,61,64,44,35,35,36,27,19,35,38,37,39
"Cardiff 007D ",20,20,11,15,24,20,17,18,12,13,9,12,8,15,15,13
"Cardiff 011A ",16,15,6,18,20,9,17,10,8,8,7,6,4,10,30,10
"Cardiff 011B ",35,33,13,14,32,36,35,23,13,14,18,8,9,13,15,18
"Cardiff 011C ",19,21,9,16,19,17,22,31,13,5,6,10,7,9,26,12
"Cardiff 011D ",38,36,19,32,40,33,42,23,26,17,17,18,19,35,30,26
"Cardiff 013A ",41,40,24,39,48,36,40,32,26,23,17,24,32,34,46,30
"Cardiff 013B ",54,55,36,32,50,58,52,67,27,32,35,36,34,36,28,41
"Cardiff 013C ",52,51,27,34,50,63,42,47,22,30,28,27,20,34,35,33
"Cardiff 013D ",69,66,39,60,84,65,58,45,34,42,48,33,34,59,62,50
"Cardiff 015A ",30,31,21,42,30,33,26,43,17,16,22,18,25,37,46,26
"Cardiff 015B ",39,38,19,38,44,42,32,28,15,22,14,17,22,34,40,26
"Cardiff 015C ",27,27,18,41,21,25,38,31,15,15,20,17,16,33,47,23
"Cardiff 015D ",23,21,11,13,39,18,15,6,19,13,8,10,9,9,16,13
"Cardiff 016A ",39,36,21,28,34,42,40,20,32,19,24,23,15,24,31,26
"Cardiff 016B ",49,46,26,44,66,37,46,32,21,30,27,21,28,35,52,34
"Cardiff 016C ",50,48,27,32,50,52,46,40,20,26,36,25,20,25,37,33
"Cardiff 016D ",50,46,27,38,54,61,36,19,31,28,25,27,28,32,42,34
"Cardiff 022A ",26,30,14,21,29,24,27,41,12,11,15,13,10,17,26,17
"Cardiff 022B ",13,13,6,11,15,16,10,10,9,8,7,3,7,9,14,9
"Cardiff 022C ",14,14,6,17,10,19,14,10,7,8,6,5,5,13,22,9
"Cardiff 022D ",40,36,19,35,46,39,37,18,25,23,23,13,15,30,43,27
"Cardiff 008A ",7,7,3,4,4,12,5,4,0,10,2,1,3,1,6,4
"Cardiff 008B ",11,10,5,6,12,12,9,8,5,4,7,6,3,4,8,7
"Cardiff 008C ",4,5,4,5,5,2,5,8,7,6,3,4,3,4,6,4
"Cardiff 008D ",22,21,11,9,16,36,16,20,12,11,12,9,8,9,11,13
"Cardiff 009A ",55,57,35,38,47,51,69,64,30,37,35,34,21,37,39,42
"Cardiff 009B ",38,39,21,17,38,36,40,45,26,16,22,19,22,18,17,25
"Cardiff 009C ",22,23,12,24,11,27,24,31,11,10,8,13,11,14,49,16
"Cardiff 009D ",31,30,13,14,40,29,24,22,24,13,11,12,9,10,21,17
"Cardiff 017A ",17,18,12,16,22,14,17,23,15,9,8,12,15,14,19,14
"Cardiff 017B ",45,45,24,30,51,40,44,46,18,25,22,17,33,25,46,31
"Cardiff 017C ",45,43,17,22,39,55,41,30,15,22,21,15,7,17,33,24
"Cardiff 017D ",46,45,31,32,51,43,44,40,21,33,31,29,35,30,36,35
"Cardiff 017E ",25,23,11,18,22,28,25,9,6,18,8,14,8,12,27,15
"Cardiff 019A ",9,8,4,6,8,9,9,5,5,4,4,4,3,2,9,5
"Cardiff 019B ",7,5,3,9,16,3,6,3,1,5,9,8,6,8,9,4
"Cardiff 019C ",4,4,4,5,2,5,4,7,3,6,4,3,2,5,5,4
"Cardiff 019D ",10,10,5,6,14,6,11,6,3,3,5,7,5,6,7,6
